_c0,Crisis_Yes_No,Category,Summary,Why_A_Crisis,Locations,Number of People Affected
29881,Yes,Statelessness,"Shamima Begum, a 15 year old British citizen, travelled to Syria to join the so-called Islamic State in 2015. Her British citizenship was revoked by the Home Office shortly after she was found in a Syrian refugee camp in 2019. She has been challenging the Home Office in court and her lawyers argued that the Home Office had a duty to investigate whether she was a victim of trafficking before stripping her of her British citizenship. The tribunal heard that she was “recruited, transported, transferred, harboured and received in Syria for the purposes of ‘sexual exploitation’ and ‘marriage’ to an adult male”.","The decision to remove her British citizenship made Ms Begum “de facto stateless”, where she had no practical right to citizenship in Bangladesh, with Bangladeshi authorities stating that she is not a citizen of Bangladesh.","Syria, Bangladesh",1
2321,No,,,,,
22983,Yes,Labor Rights,"Howard Schultz, the CEO of U.S. coffee giant Starbucks, returned to his role again as the company faces a growing wish among employees to unionize. The National Labor Relations Board (NLRB) has filed hundreds of unfair labor practices suits against the company and as of February, NLRB has certified 282 stores which voted in favor of unionization. Schultz said he was shocked to hear the loneliness, anxiety, and lack of hope in terms of opportunity among workers.",Workers are facing unfair labor practices and lack of hope in terms of opportunity.,"Buffalo, New York",282
12338,Yes,Police Brutality,"Malcom Johnson was shot and killed by police officers in Kansas City, Missouri, during a struggle at a gas station. Months after the incident, KCMO faith leaders raised concerns about the way police handled the incident after releasing cell-phone video of the incident. A special prosecutor from St. Louis was assigned to review the case and decide if charges ought to be filed against the officers involved. Members of It's Time 4 Justice, a KCMO social justice organization, gathered to demand accountability.",Police brutality is a violation of human rights and can lead to long-term trauma for those affected.,"Kansas City, Missouri",1
15745,No,,,,,
25208,Yes,LGBTQ Discrimination,"This article discusses the Pulse nightclub massacre in Orlando and how American Muslims showed up to Pride events in the days that followed. It reflects on how the Muslim community's outpouring of compassion for the LGBTQ community was not met with a revolution in the mosque, and how gay Muslims still feel compelled to hide their identities or risk being excluded.","The article highlights the discrimination and exclusion that LGBTQ Muslims face, which is a humanitarian crisis.",Orlando,
5650,Yes,Maritime Disaster,"A cargo ship broke in half at a Russian anchorage in the Black Sea, resulting in one death and one person in critical condition. Eleven crew members were rescued from the vessel.","The incident resulted in the death of one person and another in critical condition, making it a humanitarian crisis.",Black Sea,12
21847,No,,,,,
14709,Yes,Natural Disaster,"Six people were climbing Colchuck Peak in Washington state when an avalanche occurred, killing three of the climbers, including a 53-year-old man from Connecticut, a 66-year-old man from New Jersey, and a 60-year-old woman from New York. Another climber was injured, but made it back down to base camp with the other two climbers. Nearly two dozen rescuers responded to the scene, but conditions were too hazardous to continue rescue efforts.","The avalanche caused the death of three people and injured another, creating a humanitarian crisis.","Washington State, Connecticut, New Jersey, New York",4
26357,No,,,,,
20662,Yes,Elephant Attack,"The forest department launched an operation to capture an elephant that killed two people in Renjiladi village of Subrahmanya range in Kadaba taluk. The department is using drones to track the elephant and has located the herd it belongs to. Five teams from the forest department, along with five tamed elephants, are engaged in the operation.","Two people have been killed by an elephant, and the operation to capture the elephant is ongoing.","Mangaluru, Renjiladi village, Subrahmanya range, Kadaba taluk, Puthila, Noojibalthila, Konaje villages",2
12112,No,,,,,
17960,No,,,,,
21894,No,,,,,
2914,No,,,,,
20486,No,,,,,
22578,No,,,,,
8661,No,,,,,
6644,No,,,,,
23031,Yes,Climate Change,"Narwhals are likely more dependent on fat reserves and abundant prey in climate-threatened winter habitats than previously thought. Scientists studying the long-horned marine mammals in the fjords off the eastern coast of Greenland during the summer found narwhals were largely unsuccessful in capturing prey. This suggests that they could rely on the wintering grounds to build up sufficient body reserves and energy stores to sustain year-round activities. Climate change is expected to cause ice melt and potentially cause prey to relocate, which could lead to a decline in narwhal populations.","Climate change is expected to cause ice melt and potentially cause prey to relocate, which could lead to a decline in narwhal populations.",Greenland,
12986,No,,,,,
24898,No,,,,,
7441,No,,,,,
25226,No,,,,,
25846,No,,,,,
8541,No,,,,,
10923,No,,,,,
6747,No,,,,,
12024,Yes,Dementia Care,"The drug, Leqembi, is the first shown to slow the decline in memory and thinking that defines Alzheimer’s by targeting the disease's underlying biology. There are close to 700,000 people with Alzheimer's in California, and by 2025, that number is expected to be close to 840,000 people. Half of all people with dementia like Alzheimer's don't get diagnosed and when people are diagnosed, about half of them are not told of their diagnosis.",The number of people affected by Alzheimer's is increasing rapidly and many of them are not receiving the diagnosis or care they need.,California,"840,000"
30302,No,,,,,
11747,No,,,,,
23744,No,,,,,
7976,No,,,,,
26126,No,,,,,
1747,No,,,,,
18980,No,,,,,
22894,No,,,,,
28518,No,,,,,
2027,No,,,,,
2270,No,,,,,
2511,No,,,,,
23362,No,,,,,
11421,No,,,,,
27135,No,,,,,
30750,No,,,,,
6682,No,,,,,
13712,Yes,Conflict Zone,"Pete Reed was a humanitarian aid worker and former U.S. Marine who served in Afghanistan and founded a group called Global Response Medicine. He was killed by a Russian missile in Ukraine a few weeks ago. Alex Potter, his wife, described how they met in Iraq in 2016 and worked together at trauma stabilization points throughout the battle.","The death of Pete Reed is a result of the conflict in Ukraine, which has caused thousands of deaths and displacement of people.","Ukraine, Iraq",Thousands
14583,No,,,,,
886,No,,,,,
15540,Yes,Deforestation,"Slash-and-burn farming, illegal logging, open-pit mining and development fueled by population growth have stripped the once-densely forested Philippines of much of its trees. This has caused flooding in Manila, where more than 13 million people live, and has turned neighborhoods into disease-infested swamps. Rowena Jimenez, a resident of Manila, has experienced the flooding multiple times and blames environmental abuses upstream in the nearby Upper Marikina River Basin.","The deforestation has caused flooding and disease in the area, affecting the lives of millions of people.","Philippines, Manila",13 million
1918,Yes,Reproductive Rights,20 Democratic governors from across the US have formed the Reproductive Freedom Alliance to protect and improve access to abortion and reproductive health care in the face of states hostile to abortion rights.,The US Supreme Court's June decision to effectively overturn Roe v. Wade and a constitutional right to abortion care has created a divide in the country's ongoing debate.,US,
21713,Yes,Winter Storm,A winter storm is expected to bring heavy snow and wind gusts of 35-40 mph to Minnesota and a wintry mix of sleet and freezing rain to Iowa. Snow totals are expected to range from 12-16 inches in Minnesota and 3-10 inches in Iowa.,"The heavy snow and wind gusts could cause widespread blowing and drifting snow, leading to dangerous conditions and disruption of essential services.","Minnesota, Iowa",
22924,No,,,,,
23338,No,,,,,
3693,No,,,,,
5666,Yes,Medical Negligence,"The US Supreme Court refused to hear Johnson & Johnson's appeal of a US$302 million judgment against them in a lawsuit brought by the state of California accusing the company of concealing the risks of its pelvic mesh products. The case stemmed from a multistate investigation into J&J subsidiary Ethicon Inc’s marketing of pelvic mesh devices, which have resulted in more than US$8 billion in settlements.","The pelvic mesh products have caused numerous private lawsuits by women who said they suffered pain, urinary problems, bleeding and other serious injuries from the devices.",US,Numerous
29719,No,,,,,
28067,No,,,,,
11277,No,,,,,
6391,No,,,,,
3359,No,,,,,
27077,No,,,,,
14163,Yes,Spy Network,"Australian Security and Intelligence Organisation (Asio) Director-General Mike Burgess has revealed a 'hive' of spies operating in the country for years, studying and 'potentially seducing' targets including judges, journalists and veterans. It also revealed thwarted plots from two different countries to physically harm Australian residents.",The threat posed by foreign spies is at an all-time high and the plots to physically harm Australian residents is a humanitarian crisis.,Australia,Unknown
27408,No,,,,,
27098,No,,,,,
30129,No,,,,,
17055,No,,,,,
30114,No,,,,,
7104,No,,,,,
5896,Yes,Industrial Accident,"An explosion at the I. Schumann & Co. metal manufacturing plant in Oakwood killed one person and injured more than a dozen others. Approximately 60 fire personnel were on the scene from 14 different fire departments. Steve Mullins, a 46-year-old North Ridgeville resident, was killed in the blast. No cause has been determined yet.",The explosion caused the death of one person and injured more than a dozen others.,Oakwood,14
29004,No,,,,,
9327,No,,,,,
24462,No,,,,,
24098,No,,,,,
4321,Yes,Drug Abuse,"A new study reports that deaths from methamphetamine among Americans increased 50-fold between 1999 and 2021, with most of these deaths also involving heroin or fentanyl.","The increase in deaths is largely driven by the co-involvement of street opioids and the toxicity of the unregulated street drug supply, predominantly of fentanyl and other synthetic opioids. Methamphetamine overdose can be hard to recognize, which may contribute to the likelihood of a fatal overdose.",United States,
14926,No,,,,,
24730,No,,,,,
9684,Yes,Funding Cuts,"The Oldham Coliseum, built in 1885, is facing closure at the end of March due to funding cuts from Arts Council England. Actress Maxine Peake spoke at a public meeting about the importance of the theatre to the community and how it gives people inspiration and a place to witness stories.","The closure of the theatre will have a negative impact on the community, depriving them of a place to witness stories and be inspired.","Oldham, UK",Unknown
25378,No,,,,,
20259,Yes,Natural Disaster,"An official from the UNDP estimated that 1.5 million people in Turkey have been affected by recent earthquakes and 500,000 housing units need to be rebuilt. The amount of rubble that needs to be cleared is enormous and the WHO is managing the risk of communicable diseases.","The earthquakes have caused displacement, destruction of housing units, and a heightened risk of communicable diseases.",Turkey,1.5 million
9523,No,,,,,
18110,No,,,,,
13454,No,,,,,
21013,No,,,,,
12381,No,,,,,
29775,No,,,,,
11994,No,,,,,
19063,No,,,,,
10997,No,,,,,
7882,No,,,,,
13943,No,,,,,
22889,No,,,,,
27128,Yes,Military Aid,"US President Joe Biden promises new military aid for Ukraine worth $500M during a surprise visit to Kiev. The aid is for the banker's seizure of Russian resources, which has caused bugs for dinner and hyperinflation for the folks back home.","The aid is causing bugs for dinner and hyperinflation for the folks back home, creating a humanitarian crisis.",Ukraine,Unknown
15843,No,,,,,
30560,No,,,,,
21604,No,,,,,
11732,No,,,,,
30096,No,,,,,
6623,Yes,Caregiver Crisis,"Due to the rising cost of professional care, a growing number of people are becoming the primary caregiver for an aging parent or disabled family member, often putting their own careers on hold as costs mount up. In 2022, 53 million caregivers in the US provided care for about 80 million people. COVID-19 has magnified the challenge for caregivers, with one in three dropping out of the workforce completely.","The cost of professional care is rising, and the strain on the labor market is growing. Caregivers are dropping out of the workforce and are unable to provide the necessary care for their loved ones.","US, North Carolina",80 million
13856,No,,,,,
6700,Yes,Food Insecurity,"Congresswoman Barbara Lee from Oakland declared her candidacy for California's Senate seat. She has been a member of Congress for 25 years and served in the California legislature before that. Lee's pitch to voters is her biography, her life experience, and her commitment to fight for those who have not had a champion and a voice, such as the LGBTQ community, seniors, the disability community, people of color, and women. She will also fight for issues close to her heart, such as food insecurity and child care.","Food insecurity is a humanitarian crisis as it affects people's access to basic needs such as food, which is essential for survival.",California,
5374,No,,,,,
704,No,,,,,
25635,Yes,Water Crisis,"The 13th annual State of the Rockies Project released Wednesday by Colorado College surveyed at least 400 registered voters in 8 states, including Utah. The poll found that drought, the cost of living, and water shortages are top concerns of Utah residents. The Colorado River scored high on the list of concerns, with 83% of people saying it is critical to the state's economy, 86% viewing it as an attraction for tourism and recreation, 76% saying the river is at risk, and 78% saying it is in need of urgent action.","The poll found that drought, the cost of living, and water shortages are top concerns of Utah residents. The Colorado River scored high on the list of concerns, with 83% of people saying it is critical to the state's economy, 86% viewing it as an attraction for tourism and recreation, 76% saying the river is at risk, and 78% saying it is in need of urgent action.","Utah, Arizona, Colorado, Idaho, Montana, Nevada, New Mexico, Wyoming",400
10860,No,,,,,
8999,No,,,,,
10294,No,,,,,
20840,No,,,,,
11602,No,,,,,
30191,No,,,,,
20089,No,,,,,
29668,No,,,,,
5155,No,,,,,
6013,No,,,,,
24429,No,,,,,
4648,No,,,,,
5690,Yes,Homicide,Police in Metro Vancouver say homicide investigators have been deployed after the bodies of a 43-year-old woman and a 14-year-old girl were found inside a home. The two victims were related and investigators believe the deaths were an 'isolated incident with no outstanding suspects.',"The deaths of two people, one of whom is a minor, is a humanitarian crisis as it is a tragedy that is affecting the entire community.","Richmond, B.C.",2
599,Yes,Infectious Disease,"Health officials in South Africa reported four laboratory-confirmed measles cases from 24 January 2023 to 17 February 2023. Measles presents with fever, malaise, cough, conjunctivitis, and a runny nose. It is highly infectious and spreads rapidly from person to person. Vaccines are given routinely at 6 and 12 months of age.","Measles is highly infectious and spreads rapidly from person to person, potentially leading to complications such as pneumonia, scarring of the cornea, and encephalitis.",South Africa,500 since October 2022
5582,No,,,,,
5594,No,,,,,
4422,Yes,Organ Donation,"The Northern Ireland (Executive Formation) Bill is expected to move through all stages in the House of Commons later. It will further delay the requirement for the formation of an executive at Stormont until January 18 next year and delay an Assembly election to April 11 at the latest. The Bill will also allow regulations to be made regarding the rules for “Daithi’s Law”. Last week a bid to restore the Assembly to pass the law failed when the DUP once again exercised its veto to prevent the election of a speaker, meaning no further business could be conducted.","The political impasse at Stormont has caused a delay in the passing of the opt-out donation system, which is named after six-year-old Belfast boy Daithi MacGabhann, who is waiting for a heart transplant.",Northern Ireland,1
9858,No,,,,,
21207,No,,,,,
20204,No,,,,,
20636,No,,,,,
14084,No,,,,,
1302,No,,,,,
9601,No,,,,,
4950,No,,,,,
8642,No,,,,,
15922,No,,,,,
19427,No,,,,,
31257,No,,,,,
1494,No,,,,,
15658,No,,,,,
24901,Yes,Education,Illinois State Sen. Willie Preston (D) discussed a report that 55 Chicago public schools have no students who are proficient in math and reading and called for an investigation into where the billions of dollars Chicago’s public schools have received from the state and from the federal government through the American Rescue Plan.,"This is a humanitarian crisis because the lack of proficiency in math and reading is a direct result of the lack of resources and funding for the Chicago public school system, which is depriving students of the education they need to succeed.",Chicago,55 schools
26904,No,,,,,
23054,Yes,Natural Disaster,"WasteMINZ members in the affected areas are facing issues such as the management of silt, a significant increase in the amount of waste, staff resourcing and expertise, and flooded or inaccessible facilities due to the Auckland floods and Cyclone Gabrielle.","The natural disaster has caused significant damage and loss to the affected areas, resulting in a need for clean-up support and resources.",North Island,
23697,No,,,,,
9671,No,,,,,
24394,No,,,,,
24977,Yes,Oil Theft,"Vice President Yemi Osinbajo declared that tackling crude oil theft and sabotage remains a major concern of the Federal Government. He expressed concern that oil theft and sabotage of oil and gas assets pose a serious threat to oil exploration and the energy economy, impacting negatively on revenue accruals to the Federation and the business prospects of investors in the oil sector.","Oil theft and sabotage of oil and gas assets pose a serious threat to oil exploration and the energy economy, impacting negatively on revenue accruals to the Federation and the business prospects of investors in the oil sector.",Nigeria,
3398,No,,,,,
8342,No,,,,,
20241,No,,,,,
28472,No,,,,,
29036,No,,,,,
8602,No,,,,,
31553,No,,,,,
9901,No,,,,,
6383,No,,,,,
6735,No,,,,,
19208,Yes,Conflict,Ukrainian President Volodymyr Zelensky warned of a “world war” if China supported Russia against Ukraine. Chinese Foreign Minister Wang Yi announced a Chinese plan for peace in Ukraine. Putin and Xi are having a summit meeting to discuss the crisis.,The conflict between Ukraine and Russia has caused increasing tension with the West and has the potential to escalate into a world war.,"Ukraine, Russia, China",Unknown
26651,No,,,,,
10327,No,,,,,
5481,No,,,,,
15580,No,,,,,
6066,No,,,,,
26895,No,,,,,
23713,No,,,,,
9725,Yes,Voting Rights,The Minnesota Senate moved to restore voting rights to convicted felons as soon as they get out of prison instead of continuing to require them to complete their parole before they can cast a ballot. Supporters of the bill said it took on an even greater urgency after the Minnesota Supreme Court last week rejected a challenge by the American Civil Liberties Union.,"The high court’s ruling acknowledged that 1% of white people, 6% of Black people and 9% of Native American people in Minnesota could not vote in 2018 because they had been convicted of a felony but had not completed their parole.",Minnesota,"55,000"
14838,No,,,,,
16471,No,,,,,
18836,No,,,,,
6198,No,,,,,
2436,No,,,,,
31462,Yes,Job Loss,"British Steel is considering closing coke ovens at its site in Scunthorpe, which would be devastating news for the people of Scunthorpe and all British Steel workers across the UK.",The closure of the coke ovens would result in job loss and economic hardship for the people of Scunthorpe and all British Steel workers across the UK.,Scunthorpe,
26696,No,,,,,
3449,No,,,,,
21890,No,,,,,
15269,No,,,,,
14280,No,,,,,
29094,No,,,,,
20262,No,,,,,
24147,No,,,,,
4880,Yes,Forced Labor,"Volunteers and historians are scouring wooded land where the former Jesuit-owned Whitemarsh Plantation used to operate in Bowie, and where Sacred Heart Catholic Church now sits. In recent weeks, the number of flags on the hillside between the chapel and Maryland Route 450 has increased substantially, as they are planted in places where someone might have been buried.","The remains in the hillside likely belong to someone who was enslaved on the property when it was a working tobacco plantation, or one of their descendants who worked the land after slavery.","Bowie, Maryland",
21091,No,,,,,
31901,No,,,,,
5299,No,,,,,
31613,Yes,COVID-19,The article discusses the impact of the coronavirus pandemic and encourages readers to subscribe to a local journalism outlet to stay informed on the developing story.,"The coronavirus pandemic has caused a global health crisis, leading to a significant number of deaths and economic disruption.",Global,Millions
10694,No,,,,,
26806,No,,,,,
24527,No,,,,,
4304,No,,,,,
25181,No,,,,,
28149,No,,,,,
4393,No,,,,,
6467,No,,,,,
6446,No,,,,,
25722,No,,,,,
9620,No,,,,,
23745,No,,,,,
11385,No,,,,,
28021,No,,,,,
210,No,,,,,
31680,No,,,,,
3041,Yes,Natural Disaster,"Heavy rains in coastal areas of Brazil's southeastern Sao Paulo state have caused landslides and flooding, resulting in 46 deaths and 2,500 people displaced or homeless. More rain is expected in the coming days.","The floods have caused displacement and death, and more rain is expected in the coming days.",Sao Paulo,"2,500"
8742,No,,,,,
19404,Yes,Natural Disaster,"New Zealand's central bank raised its benchmark interest rate by a half-point to 4.75% despite the economic pain caused by Cyclone Gabrielle, which killed 11 people and caused billions of dollars in damage to homes and infrastructure.","The cyclone has had a devastating effect on the lives of many New Zealanders, causing destruction and economic disruption.",New Zealand,Many
27484,No,,,,,
28409,No,,,,,
10616,No,,,,,
1554,No,,,,,
24697,No,,,,,
17195,Yes,Child Death,An eight-year-old Australian boy was found motionless near a flower garden and pronounced dead by doctors at the Nadi Hospital. Tourism Minister Viliame Gavoka is demanding answers and expressing sadness over the incident.,The death of a child is a humanitarian crisis as it is a tragedy that affects the well-being of the child and their family.,Nadi,1
21495,No,,,,,
7665,Yes,Civil Rights,"Civil rights attorney Benjamin Crump announced the intent to file a lawsuit against several city, state and federal law enforcement agencies for concealing information about the assassination of Malcolm X on Tuesday.","The wrongful death lawsuit will be against the New York City Police Department, the city and state of New York, the FBI, CIA and more, seeking $100 million in the lawsuit. The investigation by the Manhattan Supreme Court exonerated Muhammad A. Aziz and Khalil Islam from their convictions in the assassination of Malcolm X.","New York City, New York State, FBI, CIA",2
24757,No,,,,,
20577,No,,,,,
4533,No,,,,,
31025,No,,,,,
8324,No,,,,,
10139,No,,,,,
24330,No,,,,,
27330,No,,,,,
6293,No,,,,,
9904,No,,,,,
14655,No,,,,,
28696,No,,,,,
26964,Yes,Bee Population,"The South Korean government has drawn up pest control measures after some ten billion honeybees either died or disappeared last fall. Authorities believe mites are to blame, but apiaries claim unusual weather conditions led to the precipitous population decrease.","The number of beehives in the nation fell more than eight percent after last autumn, with some eight billion honeybees disappearing last winter. This has caused a significant decrease in the bee population, which is essential for pollination and food production.",South Korea,
22364,Yes,Food Insecurity,"Organizers with the Central Coast Rescue Mission in Santa Maria have seen the demand at their weekly grocery distributions triple following the impacts of January’s storms. The need is huge, with more than 120 families showing up to the Foursquare Church to get food. Most of the people are agricultural workers who have been displaced due to the storm and lack of work.",The storm has caused displacement and food insecurity for many people.,Santa Maria,120 families
9771,No,,,,,
20975,No,,,,,
11551,No,,,,,
2054,Yes,Neglect of Cemeteries,"Black Americans are fighting to save some of the most sacred landmarks, cemeteries, which have been lost to time due to neglect. In Potomac, Maryland, an overgrown gravesite of 150 years old has been covered with overgrown vines, discarded tree stumps, and trash.",The neglect of these cemeteries is a crisis as it is a violation of the right to dignity and respect for the deceased and their families.,"St. Louis, Virginia, Potomac, Maryland","50,000"
31217,No,,,,,
14507,No,,,,,
26510,Yes,Environmental Pollution,"A new survey by the Environmental Working Group (EWG) has found that wildlife from around the world, including endangered and threatened species, may be exposed to cancer-linked “forever chemicals” known as per- and polyfluoroalkyl substances (PFAS). Hundreds of studies have already identified these chemicals in wildlife populations around the world, and the new map consolidates this research into one interactive, accessible venue.","Exposure to PFAS has been linked to many illnesses, such as kidney cancer, testicular cancer and thyroid disease, in humans.","South Africa, New York State, East Coast, Midwest",
7603,Yes,Drought,"Recent downpours in drought-stricken California have helped to replenish reservoirs, but scientists caution that it is unlikely to reverse the region's decades-long decline in water reserves. Groundwater drawdown is expected to continue if the climate pattern remains dry and hot in summer followed by low precipitation and high water demands.","The drought has caused a lack of resources for farmers, wildlife, and residents, leading to a humanitarian crisis.",California,
2874,No,,,,,
24942,No,,,,,
18336,No,,,,,
13222,No,,,,,
1730,No,,,,,
2214,No,,,,,
25989,No,,,,,
21105,No,,,,,
12144,Yes,Migration Crisis,"U.S. authorities have reported a 97% decline in illegal border crossings by migrants from Cuba, Haiti, Nicaragua and Venezuela since Mexico began accepting those expelled under a pandemic-era order.",The decline in illegal border crossings has caused a humanitarian crisis as migrants are unable to access the resources they need to survive.,"U.S., Mexico",Unknown
4584,No,,,,,
3989,No,,,,,
15866,No,,,,,
8038,No,,,,,
26024,No,,,,,
28703,No,,,,,
9612,No,,,,,
17447,No,,,,,
24675,No,,,,,
19161,No,,,,,
15148,No,,,,,
13596,No,,,,,
19395,No,,,,,
3661,No,,,,,
17030,No,,,,,
9027,No,,,,,
757,No,,,,,
25014,No,,,,,
26556,No,,,,,
21470,Yes,Voting Rights,The Minnesota Senate moved to restore voting rights to convicted felons as soon as they get out of prison instead of continuing to require them to complete their parole before they can cast a ballot. The Senate approved the bill 35-30 Tuesday night and sent it to Democratic Gov. Tim Walz for his promised signature.,The restrictions disproportionately affect people of color and prevent them from exercising their right to vote.,Minnesota,"55,000"
12162,No,,,,,
22612,No,,,,,
3515,Yes,Food Insecurity,"The Food Bank of Wyoming reports that inflation rate is 3-4X higher than it was a few years ago, resulting in Wyomingites having to make tough choices between heating their homes or feeding their families. The Food Bank of Wyoming partners with local organizations to help ensure plates can be filled by sourcing and distributing food and other necessities to more than 150 Hunger Relief Partners across the state.","The high cost of living is causing people to have to choose between heating their homes or eating, leading to food insecurity.",Wyoming,150
8020,No,,,,,
20291,No,,,,,
31781,No,,,,,
18881,No,,,,,
6549,No,,,,,
2065,No,,,,,
17851,No,,,,,
29695,No,,,,,
30539,Yes,Gun Violence,"Florida is looking to allow people to carry guns without a concealed weapons permit, which has been demanded by Gov. Ron DeSantis. Gun advocates and opponents have been railing against the legislation, with gun opponents saying it's dangerous and gun advocates saying it doesn't go far enough. University of Central Florida student Olivia Solomon said that members of GenZ have been affected by gun violence.","The proposed legislation has sparked a debate between gun advocates and opponents, with gun opponents saying it's dangerous and gun advocates saying it doesn't go far enough. University of Central Florida student Olivia Solomon said that members of GenZ have been affected by gun violence.",Florida,Members of GenZ
22743,No,,,,,
2112,No,,,,,
19101,Yes,Weather Disaster,"A snowstorm has caused dangerous conditions in South Dakota, leading to the closure of I-90 and I-29 and making travel in rural areas of Minnehaha County close to impossible. The Minnehaha County Sheriff's office has warned people to stay home and warned of potentially life-threatening situations if people become stranded.",The snowstorm has caused dangerous conditions and has put people in potentially life-threatening situations.,"South Dakota, Minnehaha County",
23920,No,,,,,
16892,No,,,,,
13031,No,,,,,
17029,No,,,,,
2695,Yes,Armed Conflict,"Yevgeny Prigozhin, a millionaire with close ties to President Vladimir Putin, released an audio statement condemning the lack of support from the Russian military to Wagner, a company actively involved in heavy fighting in the east of Ukraine. The Russian Ministry of Defence denied the allegations, but Wagner has been alleging for weeks that the Russian military does not provide them with enough ammunition.",The lack of support from the Russian military has caused a humanitarian crisis as it has resulted in hundreds of Wagner's fighters losing their lives in the conflict.,"Ukraine, Russia",Hundreds
24016,No,,,,,
7186,No,,,,,
28771,No,,,,,
5680,No,,,,,
31127,No,,,,,
9817,No,,,,,
15824,No,,,,,
11251,No,,,,,
8490,No,,,,,
19734,Yes,Gas Pipeline,"Explosions occurred in the Nord Stream pipelines, owned by the Russian state company Gazprom, leading to speculation of who was behind it. The Council of the European Union declared that the leaks were the result of a deliberate act.",The explosions have caused disruption to the gas supply and have caused speculation of who is behind it.,"Germany, United States, Ukraine",
14318,No,,,,,
6839,No,,,,,
26610,No,,,,,
9086,Yes,Funding Cuts,"The Oldham Coliseum, built in 1885, is facing closure at the end of March due to funding cuts from Arts Council England. Actress Maxine Peake spoke at a public meeting about the importance of the theatre to the community and how it gives people inspiration.","The closure of the theatre will have a negative impact on the community, depriving them of a source of inspiration and storytelling.","Oldham, UK",Unknown
11789,No,,,,,
15953,Yes,Economic Inequality,"The article discusses the stark contrast between the Carnival celebrations in Port-of-Spain and San Fernando, with the latter lacking the same energy and attention from the government. Bandleaders in San Fernando are calling for the government to focus on the Carnival in the city and provide more support.","The lack of government attention and resources in San Fernando is creating an economic inequality between the two cities, leading to a lack of celebration and enjoyment of Carnival in San Fernando.","Port-of-Spain, San Fernando",Unknown
10264,No,,,,,
3131,Yes,Gun Violence,An incident in Laborie resulted in the death of one man and injury to four others.,"The incident resulted in the death of one person and injury to four others, causing a disruption of peace and safety in the area.",Laborie,5
16152,No,,,,,
7012,No,,,,,
29189,Yes,Refugee Crisis,The Tent Partnership for Refugees has announced a summit to bring leading businesses together to accelerate the economic integration of Ukrainian refugee women and other refugees in the UK and across Europe. Business leaders will join Chobani CEO and Tent Founder Hamdi Ulukaya in co-hosting this summit and issuing an urgent call to action to major employers across Europe to step up with tangible commitments in support of refugees.,"Eight million refugees have fled Ukraine into Europe, creating a humanitarian crisis.","Ukraine, Europe",8 million
